ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,LCSC Assembly
2,G6K-2F-Y DC12,"A2-0,A1-0,A1-1,A2-1,A2-2,A1-2,A1-3,A2-3,A1-10,A2-10,A2-11,A1-11,A2-12,A1-12,A1-13,A2-13,A1-8,A2-8,A2-9,A1-9,A1-14,A2-14,A2-15,A1-15,A1-4,A2-4,A1-5,A2-5,A1-6,A2-6,A1-7,A2-7,SUB1,SUB2,NOT-0,NOT-1,NOT-2,NOT-3,NOT-4,NOT-5,NOT-6,NOT-7,NOT-8,NOT-9,NOT-10,NOT-11,NOT-12,NOT-13,NOT-14,NOT-15 ,B2-0,B1-0,B1-1,B2-1,B1-4,B2-4,B2-5,B1-5,B1-10,B2-10,B2-11,B1-11,B2-12,B1-12,B1-13,B2-13,B1-8,B2-8,B2-9,B1-9,B1-14,B2-14,B2-15,B1-15,B2-2,B1-2,B1-3,B2-3,B1-6,B2-6,B1-7,B2-7",RELAY-SMD_G6K-2F-Y,82,G6K-2F-Y DC12,OMRON,LCSC,C397194,
6,1k,"R1,R9,R10,R13,R17,R8,R11,R14,R18,R7,R12,R15,R19,R20,R16,R21,R6,R2,R3,R4,R5,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52",R0805,52,RK73H2ATTD1001F,LIZ,LCSC,C160065,
8,17-21SURC/S530-A3/TR8,"LED-IN0-14,LED-IN0-13,LED-IN0-12,LED-IN0-11,LED-IN0-10,LED-IN0-9,LED-IN0-8,LED-IN0-7,LED-IN0-6,LED-IN0-5,LED-IN0-4,LED-IN0-3,LED-IN0-2,LED-IN0-1,LED-IN0-0,LED-IN0-15,LED-IN1-11,LED-IN1-10,LED-IN1-9,LED-IN1-8,LED-IN1-7,LED-IN1-6,LED-IN1-5,LED-IN1-4,LED-IN1-3,LED-IN1-2,LED-IN1-1,LED-IN1-0,LED-IN1-12,LED-IN1-13,LED-IN1-14,LED-IN1-15 ,LED-PWR-ON,LED-DISP-15,LED-DISP-14,LED-DISP-13,LED-DISP-12,LED-DISP-11,LED-DISP-10,LED-DISP-9,LED-DISP-8,LED-DISP-7,LED-DISP-6,LED-DISP-5,LED-DISP-4,LED-DISP-3,LED-DISP-2,LED-DISP-1,LED-DISP-0,LED-OVERFLOW,LED-OVERFLOW8,LED-SUB",LED0805-R-RD,52,17-21SURC/S530-A3/TR8,EVERLIGHT,LCSC,C72037,
12,1N4007W,"D2,D3,D-B2-0,D-B1-0,D-A1-0,D-A2-0,D-A2-1,D-A1-1,D-B1-1,D-B2-1,D-B2-2,D-B1-2,D-A1-2,D-A2-2,D-A2-3,D-A1-3,D-B1-3,D-B2-3,D-A2-4,D-A1-4,D-B1-4,D-B2-4,D-B2-5,D-B1-5,D-A1-5,D-A2-5,D-A2-6,D-A1-6,D-B1-6,D-B2-6,D-B2-7,D-B1-7,D-A1-7,D-A2-7,D-A2-10,D-A1-10,D-B1-10,D-B2-10,D-B2-11,D-B1-11,D-A1-11,D-A2-11,D-B2-12,D-B1-12,D-A1-12,D-A2-12,D-A2-13,D-A1-13,D-B1-13,D-B2-13,D-A2-8,D-A1-8,D-B1-8,D-B2-8,D-B2-9,D-B1-9,D-A1-9,D-A2-9,D-A2-14,D-A1-14,D-B1-14,D-B2-14,D-B2-15,D-B1-15,D-A1-15,D-A2-15,DNOT-0,DNOT-1,DNOT-2,DNOT-3,DNOT-4,DNOT-5,DNOT-6,DNOT-7,DNOT-8,DNOT-9,DNOT-10,DNOT-11,DNOT-12,DNOT-13,DNOT-14,DNOT-15",SOD-123FL_L2.7-W1.8-LS3.8-RD,82,1N4007W,Jingdao,LCSC,C108803,Yes
13,HDR-IDC-2.54-2X10P,"B-IN,CTRL-IN,A-IN,RESULT",IDC-TH_20P-P2.54-V-R2-C10-S2.54,4,IDC Box 2.54mm 2X10P　Straight,BOOMELE,LCSC,C3405,
15,B2B-XH-A-GU,"PWRREG,PWRUNREG",CONN-TH_B2B-XH-A-GU,2,B2B-XH-A-GU,JST Sales America,LCSC,C265283,
